group,video,nominal_rh_metadata,reaction_start_s,h2_0pct_s,h2_1pct_s,h2_2pct_s,h2_3pct_s,h2_4pct_s,reaction_end_s,review_status,review_note
sim-run-2,1_90_RH20_2_x2.mp4,20,0,0,,,,60,60,needs_1_2_3pct_times,
sim-run-2,1_90_RH30_2.mp4,30,0,0,,,,123,123,needs_1_2_3pct_times,
sim-run-2,1_90_RH40_2_x2.mp4,40,0,0,,,,60.5,60.5,needs_1_2_3pct_times,
sim-run-2,1_90_RH50_2.mp4,50,0,0,,,,123,123,needs_1_2_3pct_times,
sim-run-2,1_90_RH60_2.mp4,60,3,3,,,,127,127,needs_1_2_3pct_times,
sim-run-2,1_90_RH70_2_x2.mp4,70,0,0,,,,63.5,63.5,needs_1_2_3pct_times,
sim-run-2,1_90_RH80_2_x2.mp4,80,0,0,,,,63,63,needs_1_2_3pct_times,
sim-run-3,1_90_RH20_3_x2.mp4,20,0,0,,,,60,60,needs_1_2_3pct_times,
sim-run-3,1_90_RH30_3_x2.mp4,30,0,0,,,,55,55,needs_1_2_3pct_times,
sim-run-3,1_90_RH40_3.mp4,40,0,0,,,,60,60,needs_1_2_3pct_times,
sim-run-3,1_90_RH50_3.mp4,50,0,0,,,,75,75,needs_1_2_3pct_times,
sim-run-3,1_90_RH60_3.mp4,60,0,0,,,,70,70,needs_1_2_3pct_times,
sim-run-3,1_90_RH70_3.mp4,70,0,0,,,,83,83,needs_1_2_3pct_times,
sim-run-3,1_90_RH80_3.mp4,80,0,0,,,,85,85,needs_1_2_3pct_times,
sim-run-4,1_90_RH20_4_x2.mp4,20,0,0,,,,60,60,needs_1_2_3pct_times,
sim-run-4,1_90_RH30_4.mp4,30,0,0,,,,120,120,needs_1_2_3pct_times,
sim-run-4,1_90_RH40_4.mp4,40,0,0,,,,90,90,needs_1_2_3pct_times,
sim-run-4,1_90_RH50_4.mp4,50,0,0,,,,122,122,needs_1_2_3pct_times,
sim-run-4,1_90_RH60_4_x2.mp4,60,0,0,,,,75,75,needs_1_2_3pct_times,
sim-run-4,1_90_RH70_4.mp4,70,0,0,,,,125,125,needs_1_2_3pct_times,
sim-run-4,1_90_RH80_4_x2.mp4,80,0,0,,,,68,68,needs_1_2_3pct_times,
sim-run-5,1_90_RH20_5_x2.mp4,20,0,0,,,,54,54,needs_1_2_3pct_times,
sim-run-5,1_90_RH30_5_x2.mp4,30,0,0,,,,51,51,needs_1_2_3pct_times,
sim-run-5,1_90_RH40_5_x2.mp4,40,0,0,,,,70.5,70.5,needs_1_2_3pct_times,
sim-run-5,1_90_RH50_5_x2.mp4,50,0,0,,,,84.5,84.5,needs_1_2_3pct_times,
sim-run-5,1_90_RH60_5_x2.mp4,60,0,0,,,,74,74,needs_1_2_3pct_times,
sim-run-5,1_90_RH70_5_x2.mp4,70,0,0,,,,106,106,needs_1_2_3pct_times,
sim-run-5,1_90_RH80_5_x2.mp4,80,0,0,,,,74,74,needs_1_2_3pct_times,
